Year,Month,cc_past,cc_pasttopast,Cloud Coverage
2002,1,0.66,0.69,0.69
2002,2,0.71,0.68,0.66
2002,3,0.71,0.7,0.68
2002,4,0.62,0.67,0.63
2002,5,0.62,0.57,0.62
2002,6,0.41,0.4,0.34
2002,7,0.35,0.37,0.41
2002,8,0.38,0.36,0.33
2002,9,0.46,0.48,0.5
2002,10,0.53,0.55,0.56
2002,11,0.65,0.63,0.66
2002,12,0.65,0.67,0.67
2003,1,0.69,0.66,0.66
2003,2,0.66,0.71,0.67
2003,3,0.68,0.71,0.66
2003,4,0.63,0.62,0.63
2003,5,0.62,0.62,0.67
2003,6,0.34,0.41,0.41
2003,7,0.41,0.35,0.33
2003,8,0.33,0.38,0.37
2003,9,0.5,0.46,0.47
2003,10,0.56,0.53,0.57
2003,11,0.66,0.65,0.63
2003,12,0.67,0.65,0.68
2004,1,0.66,0.69,0.68
2004,2,0.67,0.66,0.69
2004,3,0.66,0.68,0.71
2004,4,0.63,0.63,0.68
2004,5,0.67,0.62,0.55
2004,6,0.41,0.34,0.39
2004,7,0.33,0.41,0.37
2004,8,0.37,0.33,0.36
2004,9,0.47,0.5,0.44
2004,10,0.57,0.56,0.58
2004,11,0.63,0.66,0.6
2004,12,0.68,0.67,0.68
2005,1,0.68,0.66,0.66
2005,2,0.69,0.67,0.66
2005,3,0.71,0.66,0.7
2005,4,0.68,0.63,0.62
2005,5,0.55,0.67,0.66
2005,6,0.39,0.41,0.39
2005,7,0.37,0.33,0.29
2005,8,0.36,0.37,0.32
2005,9,0.44,0.47,0.35
2005,10,0.58,0.57,0.54
2005,11,0.6,0.63,0.67
2005,12,0.68,0.68,0.65
2006,1,0.66,0.68,0.71
2006,2,0.66,0.69,0.69
2006,3,0.7,0.71,0.64
2006,4,0.62,0.68,0.65
2006,5,0.66,0.55,0.61
2006,6,0.39,0.39,0.42
2006,7,0.29,0.37,0.31
2006,8,0.32,0.36,0.32
2006,9,0.35,0.44,0.43
2006,10,0.54,0.58,0.52
2006,11,0.67,0.6,0.53
2006,12,0.65,0.68,0.64
2007,1,0.71,0.66,0.68
2007,2,0.69,0.66,0.68
2007,3,0.64,0.7,0.67
2007,4,0.65,0.62,0.63
2007,5,0.61,0.66,0.62
2007,6,0.42,0.39,0.38
2007,7,0.31,0.29,0.31
2007,8,0.32,0.32,0.3
2007,9,0.43,0.35,0.33
2007,10,0.52,0.54,0.55
2007,11,0.53,0.67,0.66
2007,12,0.64,0.65,0.63
2008,1,0.68,0.71,0.69
2008,2,0.68,0.69,0.67
2008,3,0.67,0.64,0.65
2008,4,0.63,0.65,0.68
2008,5,0.62,0.61,0.67
2008,6,0.38,0.42,0.46
2008,7,0.31,0.31,0.44
2008,8,0.3,0.32,0.42
2008,9,0.33,0.43,0.49
2008,10,0.55,0.52,0.63
2008,11,0.66,0.53,0.61
2008,12,0.63,0.64,0.64
2009,1,0.69,0.68,0.68
2009,2,0.67,0.68,0.7
2009,3,0.65,0.67,0.67
2009,4,0.68,0.63,0.66
2009,5,0.67,0.62,0.63
2009,6,0.46,0.38,0.54
2009,7,0.44,0.31,0.36
2009,8,0.42,0.3,0.47
2009,9,0.49,0.33,0.49
2009,10,0.63,0.55,0.56
2009,11,0.61,0.66,0.56
2009,12,0.64,0.63,0.65
2010,1,0.68,0.69,0.63
2010,2,0.7,0.67,0.67
2010,3,0.67,0.65,0.67
2010,4,0.66,0.68,0.65
2010,5,0.63,0.67,0.65
2010,6,0.54,0.46,0.48
2010,7,0.36,0.44,0.36
2010,8,0.47,0.42,0.41
2010,9,0.49,0.49,0.47
2010,10,0.56,0.63,0.57
2010,11,0.56,0.61,0.54
2010,12,0.65,0.64,0.65
2011,1,0.63,0.68,0.68
2011,2,0.67,0.7,0.69
2011,3,0.67,0.67,0.7
2011,4,0.65,0.66,0.66
2011,5,0.65,0.63,0.64
2011,6,0.48,0.54,0.44
2011,7,0.36,0.36,0.38
2011,8,0.41,0.47,0.41
2011,9,0.47,0.49,0.47
2011,10,0.57,0.56,0.56
2011,11,0.54,0.56,0.63
2011,12,0.65,0.65,0.69
2012,1,0.68,0.63,0.69
2012,2,0.69,0.67,0.67
2012,3,0.7,0.67,0.72
2012,4,0.66,0.65,0.65
2012,5,0.64,0.65,0.67
2012,6,0.44,0.48,0.53
2012,7,0.38,0.36,0.37
2012,8,0.41,0.41,0.44
2012,9,0.47,0.47,0.47
2012,10,0.56,0.57,0.56
2012,11,0.63,0.54,0.62
2012,12,0.69,0.65,0.67
2013,1,0.69,0.68,0.66
2013,2,0.67,0.69,0.66
2013,3,0.72,0.7,0.65
2013,4,0.65,0.66,0.66
2013,5,0.67,0.64,0.6
2013,6,0.53,0.44,0.39
2013,7,0.37,0.38,0.26
2013,8,0.44,0.41,0.38
2013,9,0.47,0.47,0.46
2013,10,0.56,0.56,0.5
2013,11,0.62,0.63,0.6
2013,12,0.67,0.69,0.66
2014,1,0.66,0.69,0.62
2014,2,0.66,0.67,0.65
2014,3,0.65,0.72,0.63
2014,4,0.66,0.65,0.61
2014,5,0.6,0.67,0.6
2014,6,0.39,0.53,0.52
2014,7,0.26,0.37,0.31
2014,8,0.38,0.44,0.37
2014,9,0.46,0.47,0.44
2014,10,0.5,0.56,0.54
2014,11,0.6,0.62,0.61
2014,12,0.66,0.67,0.62
2015,1,0.62,0.66,0.63
2015,2,0.65,0.66,0.67
2015,3,0.63,0.65,0.62
2015,4,0.61,0.66,0.63
2015,5,0.6,0.6,0.6
2015,6,0.52,0.39,0.41
2015,7,0.31,0.26,0.37
2015,8,0.37,0.38,0.4
2015,9,0.44,0.46,0.5
2015,10,0.54,0.5,0.55
2015,11,0.61,0.6,0.58
2015,12,0.62,0.66,0.64
2016,1,0.63,0.62,0.63
2016,2,0.67,0.65,0.63
2016,3,0.62,0.63,0.66
2016,4,0.63,0.61,0.63
2016,5,0.6,0.6,0.62
2016,6,0.41,0.52,0.4
2016,7,0.37,0.31,0.27
2016,8,0.4,0.37,0.35
2016,9,0.5,0.44,0.39
2016,10,0.55,0.54,0.54
2016,11,0.58,0.61,0.66
2016,12,0.64,0.62,0.63
2017,1,0.63,0.63,0.66
2017,2,0.63,0.67,0.69
2017,3,0.66,0.62,0.68
2017,4,0.63,0.63,0.66
2017,5,0.62,0.6,0.62
2017,6,0.4,0.41,0.44
2017,7,0.27,0.37,0.33
2017,8,0.35,0.4,0.38
2017,9,0.39,0.5,0.44
2017,10,0.54,0.55,0.53
2017,11,0.66,0.58,0.63
2017,12,0.63,0.64,0.59
2018,1,0.66,0.63,0.66
2018,2,0.69,0.63,0.69
2018,3,0.68,0.66,0.68
2018,4,0.66,0.63,0.66
2018,5,0.62,0.62,0.62
2018,6,0.44,0.4,0.44
2018,7,0.33,0.27,0.33
2018,8,0.38,0.35,0.38
2018,9,0.44,0.39,0.44
2018,10,0.53,0.54,0.53
2018,11,0.63,0.66,0.63
2018,12,0.59,0.63,0.59
2019,1,0.66,0.66,0.66
2019,2,0.69,0.69,0.69
2019,3,0.68,0.68,0.68
2019,4,0.66,0.66,0.66
2019,5,0.62,0.62,0.62
2019,6,0.44,0.44,0.44
2019,7,0.33,0.33,0.33
2019,8,0.38,0.38,0.38
2019,9,0.44,0.44,0.44
2019,10,0.53,0.53,0.53
2019,11,0.63,0.63,0.63
2019,12,0.59,0.59,0.59
